"Category","Average Mean Surface Air Temperature (Annual Mean °C)","5-year smooth (Gaussian Smooth)"
1901,26.85,26.8
1902,26.85,26.83
1903,26.73,26.86
1904,26.65,26.88
1905,27.16,26.9
1906,27.17,26.9
1907,26.74,26.9
1908,26.77,26.88
1909,26.79,26.86
1910,26.73,26.83
1911,26.95,26.8
1912,26.87,26.78
1913,26.73,26.76
1914,26.82,26.75
1915,26.72,26.74
1916,26.59,26.73
1917,26.61,26.72
1918,26.79,26.72
1919,26.85,26.71
1920,26.78,26.7
1921,26.6,26.69
1922,26.73,26.69
1923,26.63,26.7
1924,26.7,26.71
1925,26.67,26.73
1926,26.85,26.74
1927,26.71,26.76
1928,26.78,26.78
1929,26.78,26.79
1930,26.76,26.81
1931,26.93,26.81
1932,26.82,26.82
1933,26.85,26.82
1934,26.69,26.82
1935,27.02,26.82
1936,26.81,26.83
1937,26.89,26.83
1938,26.43,26.84
1939,26.56,26.86
1940,27.07,26.89
1941,27.79,26.92
1942,26.85,26.95
1943,26.69,26.97
1944,26.86,26.99
1945,26.87,26.99
1946,26.95,26.98
1947,27.19,26.96
1948,26.86,26.93
1949,26.9,26.88
1950,26.68,26.82
1951,26.81,26.75
1952,26.76,26.69
1953,26.78,26.64
1954,26.76,26.61
1955,26.26,26.61
1956,26.23,26.64
1957,26.92,26.69
1958,26.93,26.75
1959,27.02,26.8
1960,27.08,26.85
1961,26.77,26.87
1962,26.63,26.88
1963,26.6,26.87
1964,26.7,26.85
1965,26.81,26.83
1966,27.22,26.81
1967,26.6,26.79
1968,26.92,26.77
1969,27.09,26.76
1970,26.86,26.77
1971,26.28,26.78
1972,26.98,26.82
1973,27.05,26.85
1974,26.55,26.89
1975,26.71,26.92
1976,26.66,26.94
1977,27.01,26.93
1978,27.18,26.92
1979,27.51,26.89
1980,27.18,26.86
1981,26.41,26.83
1982,26.55,26.81
1983,26.89,26.8
1984,26.58,26.81
1985,26.64,26.85
1986,26.61,26.91
1987,27.5,27.02
1988,27.27,27.15
1989,27.31,27.29
1990,27.67,27.42
1991,27.66,27.52
1992,27.37,27.56
1993,27.32,27.53
1994,27.41,27.45
1995,27.27,27.35
1996,26.86,27.25
1997,27.38,27.17
1998,27.99,27.15
1999,26.78,27.17
2000,27.04,27.22
2001,27.2,27.27
2002,27.35,27.3
2003,27.26,27.31
2004,27.21,27.28
2005,27.37,27.22
2006,27.3,27.17
2007,27.18,27.13
2008,26.81,27.12
2009,27.16,27.16
2010,27.76,27.23
2011,26.78,27.32
2012,27.63,27.41
2013,27.25,27.49
2014,27.35,27.54
2015,27.76,27.57
2016,27.99,27.58
2017,27.41,27.58
2018,27.43,27.59
2019,27.95,27.61
2020,27.87,27.65
2021,27.37,27.71
2022,27.21,27.78
2023,27.98,27.86
2024,28.25,27.95